map_index,species,avibaseID,clements_scientific_name,clements_common_name,sort v2023,new_number_of_square,old_number_of_square,diff_number_of_square
265,Columba livia,avibase-BBA263C2,Columba livia,Rock Pigeon,1874,20,3,17
495,Curruca hortensis,avibase-95E7E0E5,Curruca hortensis,Western Orphean Warbler,24906,22,7,15
321,Apus apus,avibase-4E6EF3F9,Apus apus,Common Swift,4070,17,3,14
45,Ciconia nigra,avibase-E2817DAE,Ciconia nigra,Black Stork,7115,16,5,11
83,Gyps fulvus,avibase-5D1987CE,Gyps fulvus,Eurasian Griffon,7753,18,7,11
591,Passer domesticus,avibase-240E3390,Passer domesticus,House Sparrow,31018,18,8,10
95,Circaetus beaudouini,avibase-F4E78AFA,Circaetus beaudouini,Beaudouin's Snake-Eagle,7800,22,12,10
488,Acrocephalus scirpaceus,avibase-3F0EE474,Acrocephalus scirpaceus,Common Reed Warbler,23263,17,8,9
488,Acrocephalus baeticatus,avibase-34E27C2A,Acrocephalus scirpaceus [baeticatus Group],Common Reed Warbler (African),23268,17,8,9
227,Stercorarius parasiticus,avibase-39086887,Stercorarius parasiticus,Parasitic Jaeger,6321,8,0,8
263,Turnix sylvaticus,avibase-0DA8BB90,Turnix sylvaticus,Small Buttonquail,6240,13,5,8
154,Porphyrio madagascariensis,avibase-865C039E,Porphyrio madagascariensis,African Swamphen,5496,15,7,8
226,Stercorarius pomarinus,avibase-7CB8F5B7,Stercorarius pomarinus,Pomarine Jaeger,6323,8,0,8
2,Tachybaptus ruficollis,avibase-215FEA89,Tachybaptus ruficollis,Little Grebe,1804,16,8,8
44,Ciconia ciconia,avibase-28825494,Ciconia ciconia,White Stork,7123,16,8,8
128,Falco peregrinus,avibase-47E58408,Falco peregrinus,Peregrine Falcon,11875,15,7,8
19,Morus bassanus,avibase-534FB490,Morus bassanus,Northern Gannet,7165,8,0,8
1002,Streptopelia hypopyrrha,avibase-3D386DBA,Streptopelia hypopyrrha,Adamawa Turtle-Dove,2041,8,0,8
582,Quelea quelea,avibase-2B6DE136,Quelea quelea,Red-billed Quelea,30408,23,15,8
117,Hieraaetus wahlbergi,avibase-535F3C99,Hieraaetus wahlbergi,Wahlberg's Eagle,7859,19,12,7
94,Circaetus gallicus,avibase-8372FFBA,Circaetus gallicus,Short-toed Snake-Eagle,7797,22,15,7
271,Streptopelia roseogrisea,avibase-273A4A2F,Streptopelia roseogrisea,African Collared-Dove,2056,21,14,7
1041,Curruca curruca,avibase-0DCD05BE,Curruca curruca,Lesser Whitethroat,24880,7,0,7
91,Circus aeruginosus,avibase-E2A19474,Circus aeruginosus,Western Marsh Harrier,7933,24,17,7
