map_index,match_map_index,species,avibaseID,clements_scientific_name,clements_common_name,sort v2023
1,,Struthio camelus,avibase-2247CB05,Struthio camelus,Common Ostrich,2
2,,Tachybaptus ruficollis,avibase-215FEA89,Tachybaptus ruficollis,Little Grebe,1804
3,,Podiceps nigricollis,avibase-32DCEC14,Podiceps nigricollis,Eared Grebe,1852
4,,Podiceps cristatus,avibase-8F269702,Podiceps cristatus,Great Crested Grebe,1848
5,,Calonectris diomedea,avibase-FF3D837A,Calonectris diomedea,Cory's Shearwater,7033
6,,Puffinus gravis,avibase-8B879DFA,Ardenna gravis,Great Shearwater,7040
7,,Puffinus griseus,avibase-1725B07D,Ardenna grisea,Sooty Shearwater,7046
8,,Puffinus puffinus,avibase-5AEDC002,Puffinus puffinus,Manx Shearwater,7053
9,,puffinus boydi,avibase-C817F455,Puffinus boydi,Boyd's Shearwater,7078
10,,Bulweria bulwerii,avibase-058773E4,Bulweria bulwerii,Bulwer's Petrel,7013
11,,Oceanites oceanicus,avibase-D295D249,Oceanites oceanicus,Wilson's Storm-Petrel,6853
12,,Pelagodroma marina,avibase-E9DF118E,Pelagodroma marina,White-faced Storm-Petrel,6864
13,,Hydrobates pelagicus,avibase-E1638A37,Hydrobates pelagicus,European Storm-Petrel,6885
14,,Oceanodroma castro,avibase-D3FAE385,Hydrobates castro,Band-rumped Storm-Petrel,6903
15,,Oceanodroma leucorhoa,avibase-C5FB15C6,Hydrobates leucorhous,Leach's Storm-Petrel,6892
16,,Phaethon aethereus,avibase-7EE005BD,Phaethon aethereus,Red-billed Tropicbird,6756
17,,Pelecanus onocrotalus,avibase-8BAFB01E,Pelecanus onocrotalus,Great White Pelican,7297
18,,Pelecanus rufescens,avibase-8D24E93C,Pelecanus rufescens,Pink-backed Pelican,7299
19,,Morus bassanus,avibase-534FB490,Morus bassanus,Northern Gannet,7165
20,,Sula leucogaster,avibase-5EC21767,Sula leucogaster,Brown Booby,7172
21,,Phalacrocorax carbo,avibase-3DF5C587,Phalacrocorax carbo,Great Cormorant,7224
22,,Microcarbo africanus,avibase-E255DCE1,Microcarbo africanus,Long-tailed Cormorant,7209
23,,Anhinga rufa,avibase-5C7936A7,Anhinga rufa,African Darter,7198
24,,Fregata magnificens,avibase-8AA3B42E,Fregata magnificens,Magnificent Frigatebird,7147
25,,Botaurus stellaris,avibase-0F42F11A,Botaurus stellaris,Great Bittern,7331
26,,Ixobrychus minutus,avibase-7AAD57AC,Ixobrychus minutus,Little Bittern,7355
27,,Ixobrychus sturmii,avibase-87EEBD3E,Ixobrychus sturmii,Dwarf Bittern,7354
28,,Tigriornis leucolopha,avibase-F3DE951B,Tigriornis leucolopha,White-crested Tiger-Heron,7311
29,,Nycticorax nycticorax,avibase-6BB94D7E,Nycticorax nycticorax,Black-crowned Night Heron,7373
30,,Gorsachius leuconotus,avibase-3C12AA44,Calherodius leuconotus,White-backed Night Heron,7435
31,,Ardeola ralloides,avibase-CE73EBD7,Ardeola ralloides,Squacco Heron,7479
32,,Bubulcus ibis,avibase-AB1CB216,Bubulcus ibis,Western Cattle Egret,7487
33,,Butorides striata,avibase-36DF115B,Butorides striata,Striated Heron,7439
34,,Egretta ardesiaca,avibase-74853F89,Egretta ardesiaca,Black Heron,7411
35,,Ardea alba,avibase-49D9148A,Ardea alba,Great Egret,7491
36,,Egretta brachyrhyncha,avibase-C3ABF863,Ardea brachyrhyncha,Yellow-billed Egret,7496
37,,Egretta garzetta,avibase-F2858F9F,Egretta garzetta,Little Egret,7421
38,,Egretta gularis,avibase-DF32B1F9,Egretta gularis,Western Reef-Heron,7426
39,,Ardea cinerea,avibase-6429024D,Ardea cinerea,Gray Heron,7507
40,,Ardea melanocephala,avibase-25A648FE,Ardea melanocephala,Black-headed Heron,7540
41,,Ardea goliath,avibase-C7888A15,Ardea goliath,Goliath Heron,7541
42,,Ardea purpurea,avibase-3395DCF1,Ardea purpurea,Purple Heron,7527
43,,Scopus umbretta,avibase-FC10F6ED,Scopus umbretta,Hamerkop,7307
44,,Ciconia ciconia,avibase-28825494,Ciconia ciconia,White Stork,7123
45,,Ciconia nigra,avibase-E2817DAE,Ciconia nigra,Black Stork,7115
46,,Ciconia abdimii,avibase-26CD0319,Ciconia abdimii,Abdim's Stork,7116
47,,Ciconia episcopus,avibase-5157C558,Ciconia microscelis,African Woolly-necked Stork,7117
48,,Ephippiorhynchus senegalensis,avibase-3D155653,Ephippiorhynchus senegalensis,Saddle-billed Stork,7132
49,,Anastomus lamelligerus,avibase-0F14ECE4,Anastomus lamelligerus,African Openbill,7112
50,,Leptoptilos crumeniferus,avibase-03C0F97C,Leptoptilos crumenifer,Marabou Stork,7135
51,,Mycteria ibis,avibase-4F92C892,Mycteria ibis,Yellow-billed Stork,7140
52,,Threskiornis aethiopicus,avibase-550DE745,Threskiornis aethiopicus,African Sacred Ibis,7575
53,,Geronticus eremita,avibase-B20FECE2,Geronticus eremita,Northern Bald Ibis,7589
54,,Bostrychia hagedash,avibase-CAFBA217,Bostrychia hagedash,Hadada Ibis,7599
55,,Plegadis falcinellus,avibase-D4540F88,Plegadis falcinellus,Glossy Ibis,7551
56,,Platalea alba,avibase-F86BB1D3,Platalea alba,African Spoonbill,7610
