TAXON CONCEPT ID,SCIENTIFIC NAME,count,map_index,sort v2023
avibase-1FE65763,Cairina moschata,1,0,424
avibase-19F22D00,Melopsittacus undulatus,2,0,12317
avibase-215FEA89,Tachybaptus ruficollis,1097,2,1804
avibase-71682A47,Tachybaptus ruficollis,142,2,1805
avibase-32DCEC14,Podiceps nigricollis,7,3,1852
avibase-710BB4E6,Calonectris diomedea,28,5,7034
avibase-CA4D268D,Calonectris diomedea,33,5,7035
avibase-FF3D837A,Calonectris diomedea,190,5,7033
avibase-D6AB20A5,Calonectris edwardsii,110,5,7036
avibase-8B879DFA,Ardenna gravis,52,6,7040
avibase-1725B07D,Ardenna grisea,352,7,7046
avibase-5AEDC002,Puffinus puffinus,121,8,7053
avibase-42F573C7,Puffinus mauretanicus,2,8,7057
avibase-5F555FDD,Puffinus baroli,2,9,7077
avibase-C817F455,Puffinus boydi,20,9,7078
avibase-058773E4,Bulweria bulwerii,23,10,7013
avibase-1BA2774D,Oceanites oceanicus,2,11,6854
avibase-D295D249,Oceanites oceanicus,56,11,6853
avibase-E9DF118E,Pelagodroma marina,5,12,6864
avibase-E1638A37,Hydrobates pelagicus,116,13,6885
avibase-D3FAE385,Hydrobates castro,4,14,6903
avibase-C5FB15C6,Hydrobates leucorhous,11,15,6892
avibase-7EE005BD,Phaethon aethereus,117,16,6756
avibase-8BAFB01E,Pelecanus onocrotalus,3405,17,7297
avibase-8D24E93C,Pelecanus rufescens,5627,18,7299
avibase-534FB490,Morus bassanus,663,19,7165
avibase-5EC21767,Sula leucogaster,105,20,7172
avibase-ADD598F2,Sula leucogaster,4,20,7174
avibase-3DF5C587,Phalacrocorax carbo,2293,21,7224
avibase-B38FDD3E,Phalacrocorax carbo,2974,21,7232
avibase-B57FBCFE,Phalacrocorax carbo,2,21,7225
avibase-E255DCE1,Microcarbo africanus,8120,22,7209
avibase-5C7936A7,Anhinga rufa,4084,23,7198
avibase-8AA3B42E,Fregata magnificens,2,24,7147
avibase-0F42F11A,Botaurus stellaris,1,25,7331
avibase-7AAD57AC,Ixobrychus minutus,274,26,7355
avibase-86E6EEB4,Ixobrychus minutus,8,26,7356
avibase-E593807A,Ixobrychus minutus,34,26,7357
avibase-87EEBD3E,Ixobrychus sturmii,130,27,7354
avibase-F3DE951B,Tigriornis leucolopha,110,28,7311
avibase-67930127,Nycticorax nycticorax,657,29,7374
avibase-6BB94D7E,Nycticorax nycticorax,2162,29,7373
avibase-3C12AA44,Calherodius leuconotus,558,30,7435
avibase-CE73EBD7,Ardeola ralloides,6182,31,7479
avibase-AB1CB216,Bubulcus ibis,10686,32,7487
avibase-36DF115B,Butorides striata,3225,33,7439
avibase-7085B8A0,Butorides striata,447,33,7442
avibase-74853F89,Egretta ardesiaca,2552,34,7411
avibase-49D9148A,Ardea alba,5876,35,7491
avibase-B95C3DE9,Ardea alba,2193,35,7493
avibase-FDCCFEC1,Ardea alba,3,35,7492
avibase-C3ABF863,Ardea brachyrhyncha,2911,36,7496
avibase-4713982B,Egretta garzetta,2013,37,7422
avibase-F2858F9F,Egretta garzetta,3654,37,7421
avibase-70F43997,Egretta gularis,2117,38,7427
avibase-DF32B1F9,Egretta gularis,6106,38,7426
avibase-0DB2F2AE,Ardea cinerea,1876,39,7508
avibase-6429024D,Ardea cinerea,6884,39,7507
avibase-87DFB57F,Ardea cinerea,28,39,7512
avibase-25A648FE,Ardea melanocephala,3596,40,7540
avibase-C7888A15,Ardea goliath,958,41,7541
avibase-3395DCF1,Ardea purpurea,2395,42,7527
avibase-8D6CB009,Ardea purpurea,694,42,7529
avibase-FC10F6ED,Scopus umbretta,5344,43,7307
avibase-28825494,Ciconia ciconia,232,44,7123
avibase-E2817DAE,Ciconia nigra,785,45,7115
avibase-26CD0319,Ciconia abdimii,3,46,7116
avibase-5157C558,Ciconia microscelis,864,47,7117
avibase-3D155653,Ephippiorhynchus senegalensis,72,48,7132
avibase-0F14ECE4,Anastomus lamelligerus,1,49,7112
avibase-03C0F97C,Leptoptilos crumenifer,604,50,7135
avibase-4F92C892,Mycteria ibis,1862,51,7140
avibase-550DE745,Threskiornis aethiopicus,2440,52,7575
avibase-CAFBA217,Bostrychia hagedash,1408,54,7599
avibase-D4540F88,Plegadis falcinellus,789,55,7551
avibase-F86BB1D3,Platalea alba,1666,56,7610
avibase-A0A584C1,Platalea leucorodia,1807,57,7605
avibase-0F9B5174,Phoenicopterus roseus,1081,58,1789
avibase-B06A9079,Phoeniconaias minor,454,59,1792
avibase-9A60617E,Dendrocygna bicolor,570,60,238
avibase-A534AFEA,Dendrocygna viduata,4315,61,231
avibase-DA2F24E3,Alopochen aegyptiaca,490,62,397
avibase-5EAB32D3,Tadorna tadorna,11,63,405
avibase-49A14FC7,Plectropterus gambensis,363,64,409
avibase-EB01B24C,Plectropterus gambensis,1393,64,408
